id,content,date,language,tags,title,ratings
377380-203583770957,من الاماكن الهاديه الجميله الممتعه في التسوق تحس انك بالخبر,2021-04-11T06:45:00+00:00,ara,"[{'value': 'c07bdfc8hb0r13sa7agg', 'sentiment': None}, {'value': 'c07bdfc8hb0r13sa7ah0', 'sentiment': None}]",Al Ahsa Mall by Arabian Centres,"{'normalized': 100, 'raw': 5}"
377380-203585579625,مساحة خضراء تتنفس فيها الهواء النقي .. المناظر الطبيعية ..الالعاب الترفيهية المناسبة للأطفال 😍😍 بحر الخليج,2021-04-11T06:45:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]","King Abdullah Park, Sea front","{'normalized': 100, 'raw': 5}"
377380-203590496913,nice place,2021-04-11T06:45:00+00:00,eng,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Green Mountain Resort,"{'normalized': 100, 'raw': 5}"
377380-203589330972,جميل❤,2021-04-11T06:45:00+00:00,ara,"[{'value': 'c9ga0skbb64rs4ni6s7g', 'sentiment': None}]",Waterfront Beach Royal Commission Yanbu,"{'normalized': 80, 'raw': 4}"
377380-203586632060,جميييل,2021-04-11T06:45:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]",Dammam Corniche,"{'normalized': 100, 'raw': 5}"
377380-203585120372,الموقع جميل لكن السياح الاجانب السيدات لايلتزمون بالستر !,2021-04-11T06:45:00+00:00,ara,"[{'value': 'c9g8ijgcu1ielf8dr38g', 'sentiment': None}]",Wadi Lajab,"{'normalized': 40, 'raw': 2}"
377380-203585070111,جميل جدا,2021-04-11T06:45:00+00:00,ara,"[{'value': 'c9g7u348hb0qun2qahng', 'sentiment': None}]",Prince Hussam Park,"{'normalized': 100, 'raw': 5}"
377380-203591489376,منتزه واسع جميل جدا,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",King Abdullah Park,"{'normalized': 80, 'raw': 4}"
377380-203585455511,ذات تصميم جميل يتيح الجلوس للأسر في شبه خصوصية مع إختلاف مناسيب هذه الجلسات مع مناظر من الأشجار والصخور والنجيلة الممتازة وكذلك توافر الحمامات العامة لها .,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9g7o87epd3vh6lri8bg', 'sentiment': None}]",Abu Kheyal Park,"{'normalized': 100, 'raw': 5}"
377380-203588221890,رايع جدا نظافة وترتيب,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bjunepd3oq1r125cg', 'sentiment': None}, {'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Al Faisaliah garden,"{'normalized': 100, 'raw': 5}"
377380-203589254881,ممتازة تحتاج تطوير,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Alanoud Park,"{'normalized': 60, 'raw': 3}"
377380-172335718245,الموقع ممتاز والاثاث لا باس به ( كويس ),2021-04-13T18:25:00+00:00,ara,"[{'value': 'c07bdkkbb64t6si78s20', 'sentiment': None}]",Al Fouz Luxury Hotel Suites,"{'normalized': 100, 'raw': 5}"
377380-203587646029,سوق رائع وتاريخي,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rqvf8cu1i938rekgn0', 'sentiment': None}]",Souq Al Zel,"{'normalized': 100, 'raw': 5}"
377380-203587519982,مكان جميل,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9g9fck8hb0qun2qahug', 'sentiment': None}]",12 Springs of Prophet Moses (A.S.),"{'normalized': 100, 'raw': 5}"
377380-172464779277,يمشي الحال,2021-04-15T08:27:00+00:00,ara,"[{'value': 'c07bbh0cu1iccnqmcq00', 'sentiment': None}]",فندق ريحانة الورود,"{'normalized': 20, 'raw': 1}"
377380-203585058015,مررره مرتبة ونظييفه وتفتح النفس للجلسة فيها,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9g7u348hb0qun2qahng', 'sentiment': None}]",Prince Hussam Park,"{'normalized': 100, 'raw': 5}"
377380-203587199266,قريه تراثيه جميله,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",Ushaiqer Heritage Village,"{'normalized': 100, 'raw': 5}"
377380-203585125625,مكان رائع لصدع كبير حدث في الوادي. ممر ممتاز للمشي (hike) وينصح بلبس حذاء وملابس مقاومة للماء.,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9g8ijgcu1ielf8dr38g', 'sentiment': None}]",Wadi Lajab,"{'normalized': 80, 'raw': 4}"
377380-203587819837,مكان جميل ورائع,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}]",The Saudi National Museum - The Saudi National Museum,"{'normalized': 100, 'raw': 5}"
377380-203586635853,المكان روووعه,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]",Dammam Corniche,"{'normalized': 100, 'raw': 5}"
377380-203583057888,جميل,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdfc8hb0r13sa7agg', 'sentiment': None}]",Al Ahsa National Park,"{'normalized': 100, 'raw': 5}"
377380-172684170184,اسعار نار لماذا وين تشجيع السياحه؟؟,2021-04-17T11:57:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78srg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122qg', 'sentiment': None}]",منتجع شاطئ الدانة | Dana Beach Resort,"{'normalized': 20, 'raw': 1}"
377380-203590485005,مدينه العاب الشي المميز فيها لعبة التوبوجان فيها جلسات يعيبها الغلاء قليلاً,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Green Mountain Resort,"{'normalized': 60, 'raw': 3}"
377380-203588959943,جميل,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9g9th4bb64rs4ni6s70', 'sentiment': None}]",Umluj Beach,"{'normalized': 80, 'raw': 4}"
377380-172770160199,راحة ومعاملة راقية وجمال المكان,2021-04-17T20:32:00+00:00,ara,"[{'value': 'c07bja4bb64t6si78uog', 'sentiment': None}]","Makkah Clock Royal Tower, A Fairmont Hotel","{'normalized': 100, 'raw': 5}"
377380-203590622126,مكان هدوء ورقاان ومنضر خلاب,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9ga0skbb64rs4ni6s7g', 'sentiment': None}]",Yanbu Lake Park,"{'normalized': 100, 'raw': 5}"
377380-203589247596,متنزه جميل,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9g9s7sbb64rs4ni6s6g', 'sentiment': None}]",Park Alheefah,"{'normalized': 80, 'raw': 4}"
377380-173134442818,جيد بالنسبه لاسعارة,2021-04-19T08:36:00+00:00,ara,"[{'value': 'c07bdkkbb64t6si78s20', 'sentiment': None}]",قصر النباريس للوحدات السكنية المفروشة,"{'normalized': 60, 'raw': 3}"
377380-173174221159,فخم جدا,2021-04-19T15:39:00+00:00,ara,"[{'value': 'c07bdkkbb64t6si78s20', 'sentiment': None}]",The Ritz-Carlton Jeddah,"{'normalized': 100, 'raw': 5}"
377380-203582835148,جميل مناسب للعائلات,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdfc8hb0r13sa7ag0', 'sentiment': None}, {'value': 'c07bdfc8hb0r13sa7agg', 'sentiment': None}]",Uqair Beach,"{'normalized': 40, 'raw': 2}"
377380-173202828635,خدمه الغرفه جيده وكذلك يوجد بانيو,2021-04-19T20:41:00+00:00,ara,"[{'value': 'c0rqv44bb64sdb6ukkr0', 'sentiment': None}]",Accor Palace Hotel - فندق قصر أكور,"{'normalized': 100, 'raw': 5}"
377380-203583220450,السوده جميله بكل ماتحمله الكلمه الجو بارد وكذلك منظر الضباب حين يتكون . الحمد لله كل سنه اذهب اليها .,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9g7o87epd3vh6lri8bg', 'sentiment': None}]",Jabal Sawda,"{'normalized': 100, 'raw': 5}"
377380-173191725820,جميل ورائع,2021-04-20T19:47:00+00:00,ara,"[{'value': 'c0rqv44bb64sdb6ukkr0', 'sentiment': None}]",Rosh Rayhaan by Rotana,"{'normalized': 100, 'raw': 5}"
377380-203587247505,الطريق لها طويل شوي حلو تكون الزيارة ومعك مؤونة عشان تجلس وتريح بالمكان على الشاطئ,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9g9fck8hb0qun2qahug', 'sentiment': None}]",Catalina Seaplane Wreckage,"{'normalized': 80, 'raw': 4}"
377380-203585723449,حلوه للاطفال,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}]",Al Hamra Park,"{'normalized': 60, 'raw': 3}"
377380-203587338076,جيد لحد ماء .☹ لازم تكون حميع اغراضك معك لا تتوهق لانه خارج الكرة الارضية ولافيه اي خدمات,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}]",King Salman Park,"{'normalized': 40, 'raw': 2}"
377380-173373844041,قديم جدا خدمات اقل من جيده مطعم متواضع لا انصح به ابدا,2021-04-21T05:08:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123jg', 'sentiment': None}]",Madinah Hilton,"{'normalized': 20, 'raw': 1}"
377380-203597264111,اكثر من رائع,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Arruddaf Park,"{'normalized': 100, 'raw': 5}"
377380-173646111636,ما يعطون رز زياده ويحطون بهارات اندومي,2021-04-23T08:16:00+00:00,ara,"[{'value': 'c07bjunepd3oq1r125cg', 'sentiment': None}]",Hirrman Restaurant,"{'normalized': 20, 'raw': 1}"
377380-203587697745,حديقة الروضة,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rqv8sbb64sdb6ukks0', 'sentiment': None}]",Rawdah Park,"{'normalized': 80, 'raw': 4}"
377380-203589028117,يوجد فيه سد ابن معاويه لاتوجد خدمات,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c0rlhqgcu1i938rekca0', 'sentiment': None}]",Saiysad National park,"{'normalized': 40, 'raw': 2}"
377380-203584628490,جميل وهادي,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c9g9th4bb64rs4ni6s70', 'sentiment': None}]",Umluj Beach,"{'normalized': 100, 'raw': 5}"
377380-203585035375,مواكبه للتطور الحضاري وشامل جميع الخدمات المكتبيه والترفيهية والمتحف الجميل 😌👌🏻,2021-04-11T06:46:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}, {'value': 'c07bdifepd3oq1r122rg', 'sentiment': None}]",King Abdulaziz Center for World Culture - Ithra,"{'normalized': 100, 'raw': 5}"
377380-173513348598,مطعم حلو لوبي حلووو تعامل ممتاز,2021-04-23T18:36:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78srg', 'sentiment': None}]",Warwick Al-Khobar Hotel,"{'normalized': 100, 'raw': 5}"
377380-203587342638,منظم ولطيف ونظيف استمتعت جدا بزيارتي له هذا اليوم الجو كان جميل جدا صباح وظهر هذا اليوم ماكان ممتليء ومتوفر فيه العاب الاطفال وجلسات,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123kg', 'sentiment': None}, {'value': 'c0rquskbb64sdb6ukkq0', 'sentiment': None}]",King Salman Park,"{'normalized': 100, 'raw': 5}"
377380-203585917978,ماشاءالله نظافة وكل شي مرتب,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}]",Khobar Sea Front,"{'normalized': 100, 'raw': 5}"
377380-203587240478,Perfect place to visit,2021-04-11T06:47:00+00:00,eng,"[{'value': 'c9g9fck8hb0qun2qahug', 'sentiment': None}]",Catalina Seaplane Wreckage,"{'normalized': 100, 'raw': 5}"
377380-203585449835,مكان هادئ وجميل وفيه مطعم شعبيات رااائع,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c9g8ijgcu1ielf8dr38g', 'sentiment': None}]",Jazan Heritage Village,"{'normalized': 100, 'raw': 5}"
377380-203584278574,"Very good, pleasant atmosphere. Good for daily walking, and good for family hangout.",2021-04-11T06:47:00+00:00,eng,"[{'value': 'c07bdncbb64t6si78ssg', 'sentiment': None}]",Prince Ibn Jalawy Park,"{'normalized': 100, 'raw': 5}"
377380-173533639138,احبه والتسوق فيه ممتع,2021-04-24T15:53:00+00:00,ara,"[{'value': 'c07bbvvepd3oq1r122o0', 'sentiment': None}]",Aseer Mall,"{'normalized': 100, 'raw': 5}"
377380-173625676396,Wonderful room,2021-04-25T02:26:00+00:00,eng,"[{'value': 'c07bja4bb64t6si78uog', 'sentiment': None}]",AlRawda Almakyah Hotel,"{'normalized': 100, 'raw': 5}"
377380-173720679568,البوفية كله سلطات والسكن مريح,2021-04-25T06:04:00+00:00,ara,"[{'value': 'c0rqv44bb64sdb6ukkr0', 'sentiment': None}]",Golden Tulip Al Nasiriah hotel,"{'normalized': 40, 'raw': 2}"
377380-203583167542,جميل جدا نشكر القائمين عليه,2021-04-11T06:47:00+00:00,ara,"[{'value': 'c9g7u348hb0qun2qahng', 'sentiment': None}]",Park Prince Mishari Bin Saud,"{'normalized': 100, 'raw': 5}"
377380-173764790862,"فندق 5 نجوم خدماته متميزة، قريب جدا من المسجد النبوي",2021-04-25T16:57:00+00:00,ara,"[{'value': 'c07bdofepd3oq1r123jg', 'sentiment': None}]",Pullman Zamzam Madina,"{'normalized': 100, 'raw': 5}"
